,Countries,Number of Shows
0,United States,3681
1,South Africa,62
2,Unknown,829
3,India,1046
4,Ghana,5
5,Burkina Faso,1
6,United Kingdom,805
7,Germany,226
8,Ethiopia,1
9,Czech Republic,22
10,Mexico,169
11,Turkey,113
12,Australia,158
13,France,393
14,Finland,11
15,China,162
16,Canada,445
17,Japan,316
18,Nigeria,103
19,Spain,232
20,Belgium,90
21,South Korea,231
22,Singapore,41
23,Italy,99
24,Romania,14
25,Argentina,91
26,Venezuela,4
27,Hong Kong,105
28,Russia,27
29,,7
30,Ireland,46
31,Nepal,2
32,New Zealand,33
33,Brazil,97
34,Greece,11
35,Jordan,9
36,Colombia,52
37,Switzerland,19
38,Israel,30
39,Taiwan,89
40,Bulgaria,10
41,Algeria,3
42,Poland,41
43,Saudi Arabia,13
44,Thailand,70
45,Indonesia,90
46,Egypt,117
47,Denmark,48
48,Kuwait,8
49,Netherlands,50
50,Malaysia,26
51,Vietnam,7
52,Hungary,11
53,Sweden,42
54,Lebanon,31
55,Syria,3
56,Philippines,83
57,Iceland,11
58,United Arab Emirates,37
59,Norway,30
60,Qatar,10
61,Mauritius,2
62,Austria,12
63,Cameroon,1
64,Palestine,1
65,Uruguay,14
66,Kenya,6
67,Chile,29
68,Luxembourg,12
69,Cambodia,6
70,Bangladesh,4
71,Portugal,6
72,Cayman Islands,2
73,Senegal,3
74,Serbia,7
75,Malta,3
76,Namibia,2
77,Angola,1
78,Peru,10
79,Mozambique,1
80,Belarus,1
81,Zimbabwe,3
82,Puerto Rico,1
83,Pakistan,24
84,Cyprus,1
85,Guatemala,2
86,Iraq,2
87,Malawi,1
88,Paraguay,1
89,Croatia,4
90,Iran,4
91,West Germany,5
92,Albania,1
93,Georgia,2
94,Soviet Union,3
95,Morocco,6
96,Slovakia,1
97,Ukraine,3
98,Bermuda,1
99,Ecuador,1
100,Armenia,1
101,Mongolia,1
102,Bahamas,1
103,Sri Lanka,1
104,Latvia,1
105,Liechtenstein,1
106,Cuba,1
107,Nicaragua,1
108,Slovenia,3
109,Dominican Republic,1
110,Samoa,1
111,Azerbaijan,1
112,Botswana,1
113,Vatican City,1
114,Jamaica,1
115,Kazakhstan,1
116,Lithuania,1
117,Afghanistan,1
118,Somalia,1
119,Sudan,1
120,Panama,1
121,Uganda,1
122,East Germany,1
123,Montenegro,1
