,Genre,Number of Shows
0,Documentaries,869
1,International TV Shows,1349
2,TV Dramas,762
3,TV Mysteries,98
4,Crime TV Shows,469
5,TV Action & Adventure,167
6,Docuseries,394
7,Reality TV,255
8,Romantic TV Shows,370
9,TV Comedies,573
10,TV Horror,75
11,Children & Family Movies,641
12,Dramas,2426
13,Independent Movies,756
14,International Movies,2752
15,British TV Shows,252
16,Comedies,1674
17,Spanish-Language TV Shows,173
18,Thrillers,577
19,Romantic Movies,616
20,Music & Musicals,375
21,Horror Movies,357
22,Sci-Fi & Fantasy,243
23,TV Thrillers,57
24,Kids' TV,448
25,Action & Adventure,859
26,TV Sci-Fi & Fantasy,83
27,Classic Movies,116
28,Anime Features,71
29,Sports Movies,219
30,Anime Series,174
31,Korean TV Shows,151
32,Science & Nature TV,92
33,Teen TV Shows,69
34,Cult Movies,71
35,TV Shows,16
36,Faith & Spirituality,65
37,LGBTQ Movies,102
38,Stand-Up Comedy,343
39,Movies,53
40,Stand-Up Comedy & Talk Shows,56
41,Classic & Cult TV,26
